,address,eth_balance
8,0x28c6c06298d514db089934071355e5743bf21d60,554338.314816904574166837
116,0x4ed97d6470f5121a8e02498ea37a50987da0eec0,100600.476945572507289232
139,0x682aa4ecb9c8ea51b22433189e979cad3f958711,96638.899457036104322
212,0x3fd6b1e25200fdda352cbc911ffcd4308895a7d0,63413.4103021908133238
587,0x329b872573ba71bef919ae216de07158a872629d,20000
635,0x4a34fedf244fc3b38ec51cb18a1672dfd46b96ce,18634.302057372923950318
677,0x07fa1016de4c38d5c94d1109936c6e3643edd252,16903.965
899,0xe5928c550b8d5b196db62687bef741ed627907fc,13039.142881587455210722
1226,0xf81e82a2177c46c050e66cfe0cb88a25fe617299,10000.00013313491821
1251,0xe71cb75836f7f91276a1480c7e5acf8378781bcb,10000
1457,0xe94da31fb6eb57cae5a692d1ba2b63a2b4c9e2c2,8526.591094783983908414
1588,0x2c8fbb630289363ac80705a1a61273f76fd5a161,7439.111873629583625107
1608,0x0d42f82c6d77557b82c0587f0e5177e92ff1fead,7253.08461900844265309
1720,0xf51c4c6672add72588b521b02c10687bdecff5c9,6681.421477279200264551
1753,0xf88ea46816dd2439f8d011feaa5b4108ef04c041,6350.270553442865600625
1756,0xcc3cf78f55b8a351e6cc84b7a565b9cc53273359,6349.612005814629049469
1789,0x5d7aaa862681920ea4f350a670816b0977c80b37,6144.907528173152970535
1793,0xd569d3cce55b71a8a3f3c418c329a66e5f714431,6114.619397821595124986
1845,0xf9f36d8fde61f30b6afa0f5752f17a32694e76c1,5847.094664
1984,0x9409280dc1e6d33ab7a8c6ec03e5763fb61772b5,5023.849268320989248742
2104,0xa5efb6fcc0e5e3300af04a643f72f103ac5deda0,4754.944383610145172237
2168,0x230b3c88224555be98386787f564d3eea435a631,4498.998927777999605876
2190,0x8e04af7f7c76daa9ab429b1340e0327b5b835748,4428.111124133310500168
2212,0x374e19ff460d7dbb0894ec2ef5354b43a224a7df,4328.9575309555
2215,0x05cdb1526f6e224e02919a4c018d9784ea25eb3d,4305.904255794730209835
2585,0xbd4197dfaf8c748823a2eaf2bd8061b16cfacbfc,3457.9499986964
2726,0x3f08d9ad894f813e8e2148c160d24b353a8e74b0,3135.662612516347430233
2904,0x03ef344aa7e0f2ac4e36a27a86e3c1c838463a78,2948.93420358987855079
3154,0xff93f53be41d4f3412898120fa7c6a5b765199c9,2580.079754004000000911
3575,0x7dbe0d7b39ea3fc49b98df72e2c1f34b63cea124,2144.710613
3793,0x63ef3b6f18830f309c35dd41b1700308824d7afe,2000.7942822
3850,0x0a533dbf533ff5cffc8d8ce2c070b391a000c5e0,2000
4036,0x9307ef870e9c6b062eebef274f835e2dfab45cae,1982.42318211
4103,0x99967871e6c4f9a5185abc57edede9e9540191f6,1947.235475190663695538
4406,0x435f3e9ad96571c9b06f51e410249617740b9743,1765.24878851
4460,0xef608176bf9c8dfa72a385dd8646316712e4d8e7,1740.292678248
4530,0xbe1e29804d75533908ff0d49286dccb1eb90a480,1699.295318950250236756
4533,0x819f66586f5ed30309418aae724148c05e8f7c86,1697.659665620544961792
4630,0x306c12dac12156f06d183be2ad6c5322856e982a,1632.958595558540509564
4800,0x4ab008c4889ccdf63045d1db5306dc044f979de3,1543.395358383925879898
4873,0x9fb6aa0424273e7f924f81dd4eb1a53ae7a1e3e3,1504.004561845414774189
5127,0x2f2e9b069629a47d59248957f350debb85cd7a91,1414.6871364
5205,0x317b01d627a5021e3234f950cf4dbb26974d6bd5,1379.560504934144324485
5221,0x0402e3499c80399ca40ef0dafd98f2db6a15300a,1372.158334873449998976
5289,0xb80d6437a3a00e9ebd7efe18962acf66370fff5d,1350.837516259253579
5389,0xbde1148eec7b6939f6d6ccf9aaa020f3c0bcc180,1312.898377086605762932
5468,0x7f755b95ac28e5102308c8b9d52ec20fdf59582e,1284.793171105
5471,0xaea0a2431df79d9fd2c9837a9a4eb9c11790ac43,1283.46362819029752409
5479,0x773353d97b71b3530d4e08c2a22328ed56d1765f,1280.23
