,Name,Initial Distribution,Unpaid Bonus Factor,praisemaggedon,Final Distribution
0,zeptimusq,0.053211957598914485,0.9645205809806011,0.02050535034778772,0.03751278611837364
1,santigs67,0.048188966394050244,1.0,0.02125962965657042,0.035262884760059926
2,ygganderson,0.03895884520464662,0.9587096689747876,0.020381812510577208,0.030041869511493298
3,cranders71,0.03244728797899623,1.0035995981573653,0.021336155780308484,0.02711394452362611
5,solsista,0.02736035285984159,1.0087542893519528,0.021445742606099397,0.02452133993804534
7,mzargham,0.022432259549543608,1.0443238357328197,0.02220193798920883,0.022321705200582916
4,sembrestels,0.029459747255492292,0.67750323217769,0.014403467807227137,0.02223273312032502
8,iviangita,0.020554275700347967,0.8179376130325152,0.01738905073525048,0.019034967717101177
9,naynaysoo,0.019464023031313782,0.813674882069208,0.017298426653644977,0.018424536770032755
19,lkngtn,0.012364853210507655,1.0267637891548904,0.02182861790220993,0.016907460262524744
22,xgabi,0.01151909775179779,0.9828408078449924,0.020894831586149035,0.016019449992286387
18,laurenluz,0.01239065749154801,0.8613368297937518,0.0183117020109796,0.015232758860875172
24,divine_comedian,0.01086937354026604,0.8207298010374,0.017448411618165852,0.014027311817657949
6,akrtws,0.025754137702800984,1.008665806640798,0.0002537157448215503,0.013513935162970857
27,vyvy-vi#5040,0.009610303740011435,0.8262710783082566,0.017566217120768637,0.013429142162774892
10,durgadasji,0.017334250894884155,1.0,0.007870586296745379,0.012791691887777542
26,vitormarthendal,0.009925158294828977,0.7202743642479779,0.015312766235033718,0.012511210106127253
15,jessicazartler,0.013469167129224035,0.5017739131089239,0.01066752756402387,0.012124380137927956
12,juankbell,0.013647770566829162,0.46712084487205086,0.009930816166844084,0.011863632454836324
32,jeffemmett,0.008676490340961579,0.667705358603883,0.014195168643626101,0.01132545592624055
25,markop,0.010143867452718468,0.5715567039851673,0.012151083854454705,0.011107331325551861
54,fabiosmendes,0.005244464615853082,0.7775728175271219,0.016530910131642623,0.010661958463432061
13,mateodaza,0.013532876619990102,0.9319827323619848,0.007335250522131553,0.010558016093017998
36,paulo_c2d,0.008079589263908202,0.6144572281205825,0.013063133109646392,0.010471690309862534
17,trentmc0,0.01242638678162497,1.0466462089275546,0.008237719309525712,0.010415826395017327
21,nuggan#5183,0.011621483830305394,1.0,0.007870586296745379,0.009821053014196586
23,danlessa,0.011388805741334005,1.026770961067905,0.008081289456077136,0.009801197924410709
14,griffgreen,0.013482308114672284,0.25529569729297397,0.005427491977364534,0.009615996368764564
16,freedumbs00,0.01276736637656858,0.6866677765268359,0.005404477992348732,0.009233179952143053
11,metaverde,0.01629105316832112,1.0,0.0013211341285134944,0.00910549202921346
28,shawn_westrick,0.009572187945916412,1.0,0.007870586296745379,0.008755419154314317
20,liviade,0.011923611849119616,0.248728683967255,0.005287879706109987,0.008738460420474995
40,vegayp,0.007131772084124838,0.458623304186462,0.009750161598876827,0.008388599051205793
34,wslyvh,0.00846438309450051,1.0086227576759343,0.007938452455149743,0.008211936387612142
33,mount manu#3530,0.008641537931436223,0.9826733842783498,0.007734215672477586,0.008206023247136077
35,ddan#2489,0.00844240608284668,1.0,0.007870586296745379,0.008167932585518055
38,sherminv,0.007623684900950123,1.0537470135848783,0.00829360680535751,0.007945247415065668
37,🐙 octopus#5508,0.008001096164512856,1.0,0.007870586296745379,0.007938451427984466
39,randomshinichi,0.007153953688584016,1.054162881738632,0.008296879931549695,0.007702558285207542
41,merlinegalite,0.007002156697235747,0.9951006790344255,0.00783202576829037,0.007400493851341966
45,benjaminscholtz,0.006406276173943443,1.028791815993452,0.008097194769161856,0.007217917099648282
48,vntrp,0.006019723712765775,1.046668700462473,0.008237896331092233,0.007084446569562475
51,willjgriff,0.00540010478821634,1.0513367757655605,0.008274636820604888,0.006779880163762843
56,jonathanbsci,0.005091065470536929,1.0834267565387319,0.008527203783541035,0.0067404118607788995
76,suga#8514,0.0030660885963804427,0.4872011617901817,0.01035771626791011,0.006566069878714683
30,tam2140,0.008906864611202565,0.18815258179865968,0.004000054207967078,0.006551595617649531
55,manualzuru,0.005168040947314051,1.0,0.007870586296745379,0.006465262715041088
62,upaul,0.004444955016053359,1.0832360164467894,0.008525702547187151,0.006403713830997579
53,heater03,0.005252388847079787,0.9693579124959153,0.007629415102732057,0.006393361449792877
52,geleeroyale,0.005368760224000721,0.9520454958221237,0.007493156233295766,0.006388470308462343
58,annamarieswan#8824,0.004715571081188523,1.0,0.007870586296745379,0.006229978384655814
66,fvigevani,0.004304211904532093,1.0,0.007870586296745379,0.00601607161279447
63,fiorebotta,0.004443524208724643,0.9134289485909519,0.007189221365830486,0.005761458844135448
70,aminlatifi,0.0038253434540517993,0.9381612665226257,0.0073838792084302655,0.005533440616153463
68,atacas,0.004055287978573396,0.8964107874947385,0.007055278460310822,0.00549528340980736
50,chuygarcia92,0.005734104614924543,0.24266977648536925,0.0051590695769216715,0.005458087796683164
29,tonga2020,0.009269231803217379,1.0,0.0013211341285134944,0.005454144919359515
61,knobsdao,0.0044856402207807755,0.806249432748626,0.0063456557371500705,0.005378447668638037
81,jwaup,0.0026132186029031172,1.0,0.007870586296745379,0.005136755095947403
82,rodrigouy,0.002604798845854294,1.0,0.007870586296745379,0.005132376822282014
88,phil_h,0.002157189392833228,1.0,0.007870586296745379,0.00489961990671106
91,fabianvb,0.0020615179200118294,1.0,0.007870586296745379,0.004849870740843933
93,felixfalafel,0.0018664497026207383,1.0,0.007870586296745379,0.004748435267800565
57,fabimol,0.004809062394308601,0.5814701698413474,0.004576511150719516,0.00469743779738584
31,simondlr,0.00876173371100004,1.0548116132417948,0.0002537157448215503,0.004677885087234365
100,david (please dyor...)#4116,0.001622618106149523,1.0,0.007870586296745379,0.0046216428376355334
103,jameszaki,0.0014555406736913598,1.0,0.007870586296745379,0.004534762572757289
64,krisjones,0.0044172734689812265,0.5764260443094931,0.00453681092542944,0.004474651448076369
109,coachb,0.0013033349656104412,1.0,0.007870586296745379,0.004455615604555211
83,vivszaid,0.0025546658747685022,0.8264416152069924,0.006504580051708272,0.004450624679699591
111,freddbomba,0.0012361974322537908,1.0,0.007870586296745379,0.004420704087209753
120,papa_raw,0.001150878240372303,1.0,0.007870586296745379,0.004376338107431379
128,chriscyber,0.0010500975212534229,1.0,0.007870586296745379,0.004323932133489561
150,markusbkoch#6770,0.000811821193454915,1.0,0.007870586296745379,0.004200028443034337
160,officialnico,0.0006767449395519557,1.0,0.007870586296745379,0.004129788791004799
43,tannra,0.006664342829702037,1.0248929454423847,0.0013540210482966533,0.004115388374627453
112,gfriis,0.0012155769219955076,0.9177097596829694,0.007222913858950274,0.004099098651733795
44,sgonzt,0.006463800334764878,0.9825084946649678,0.0012980255038563075,0.003984228415928764
215,adriamb,0.0003356055689494179,1.0,0.007870586296745379,0.003952396318291479
46,sponnet2,0.006280050552921044,1.0,0.0013211341285134944,0.00389977066920542
47,blairv,0.006240547577305982,1.0,0.0013211341285134944,0.0038792291218855877
49,danibelle,0.0058211123250104906,0.9870083861769148,0.001303970464107349,0.0036528842317769825
42,kristoferkristofer,0.006747831348079711,0.9429902988988137,0.0002537157448215503,0.003630655858515794
59,rdfbbx#6437,0.004685079793646269,1.0,0.0013211341285134944,0.0030703858743825374
60,owocki,0.004634009870918022,1.0,0.0013211341285134944,0.003043829514563849
65,ethicraul,0.004389297370393796,1.0943836318587192,0.0014458275657351018,0.002976431864157623
67,niranb,0.004237199798766026,1.0,0.0013211341285134944,0.0028374882770448107
69,nathalia#0926,0.003911649321124066,1.0895715116415703,0.0014394701094857167,0.0027250032995376587
71,loie_giveth,0.003761751262623462,1.0,0.0013211341285134944,0.0025902550382506774
72,letty#5399,0.00363613136306472,1.0,0.0013211341285134944,0.002524932690480132
73,hbesso31,0.003497568045442397,1.0,0.0013211341285134944,0.0024528797653165235
74,pavl#1561,0.0034140107910927728,1.0,0.0013211341285134944,0.0024094299930547194
75,rosamoc,0.0031988416345718703,1.0,0.0013211341285134944,0.00229754203166385
77,tylerdmace,0.0030468429241369377,1.0,0.0013211341285134944,0.002218502702237685
78,rubenrussel7,0.0029782769216417765,0.9360018757905882,0.001236584022459595,0.0021422643300343294
79,maghaali#6154,0.0026979018496744206,1.0,0.0013211341285134944,0.002037053343517176
80,t wells#9070,0.002617222801290109,1.0,0.0013211341285134944,0.001995100238357334
84,elihanover,0.0024465609743996967,1.0,0.0013211341285134944,0.0019063560883743197
85,quartagiulio,0.002419416447694498,1.0,0.0013211341285134944,0.0018922409344876163
86,daithic,0.0023639950181459117,1.0,0.0013211341285134944,0.0018634217911223513
87,lescanore,0.0023312780300562114,0.9085888516673664,0.0012003677407246428,0.0017884410911770585
90,krrisis,0.0020837564516911723,1.0,0.0013211341285134944,0.0017176977365658869
92,misterboyfriend,0.001920040264914251,1.0,0.0013211341285134944,0.0016325653194418878
94,mehigher,0.0018398663252893706,1.0,0.0013211341285134944,0.00159087487083695
95,burrrata,0.0018237513618530592,1.0,0.0013211341285134944,0.001582495089850068
98,anjablaj,0.001711718047740045,1.0,0.0013211341285134944,0.0015242377665113007
96,acidlazzer#5796,0.0017868228468032286,0.857805820475495,0.0011332765450676962,0.001473120621970173
99,anthonyoliai,0.0017029949087685045,0.9046836090577307,0.001195208391432928,0.0014592573804474277
101,kz flyer#0926,0.0015748723916116838,1.0,0.0013211341285134944,0.0014530780253245528
104,baartch#5796,0.0013867302834320858,1.0,0.0013211341285134944,0.001355244129071162
105,ludo_lb,0.0013832081420546323,1.0,0.0013211341285134944,0.0013534126155548862
106,pehkah,0.0013504685021176396,1.0,0.0013211341285134944,0.0013363880027876499
107,decentralizesdgs,0.0013351796537530785,1.0,0.0013211341285134944,0.001328437801638078
108,sjdthree#8498,0.0013080836369383116,1.0,0.0013211341285134944,0.0013143478728943993
110,pacobacpac,0.0012659704242003824,1.0,0.0013211341285134944,0.001292449002270676
113,tjayrush,0.0012006550788173692,1.0,0.0013211341285134944,0.0012584850226715094
115,danielo#2815,0.0011877274716315972,1.0,0.0013211341285134944,0.001251762666934908
116,moritzfelipe#9923,0.0011850227427943056,1.0,0.0013211341285134944,0.001250356207939516
117,zer8🧠#9093,0.0011705749833738606,1.0,0.0013211341285134944,0.0012428433730408846
118,dulcedu,0.0011568609475743968,1.0,0.0013211341285134944,0.0012357120744251634
119,sbilbao,0.0011528802287400785,1.0,0.0013211341285134944,0.001233642100631318
89,gracerachmany,0.0021353102100655236,1.0,0.0002537157448215503,0.0012321448667484166
121,marinam00,0.001126135705385871,1.0,0.0013211341285134944,0.00121973494848713
122,jamessimbouras,0.001117586951073253,1.0,0.0013211341285134944,0.001215289596244569
123,paxthemax,0.0010990486786295614,1.0,0.0013211341285134944,0.0012056496945738492
124,lydia#2825,0.0010818536061699244,1.0,0.0013211341285134944,0.001196708256894838
125,cpt_grog,0.0010814964016972297,1.0,0.0013211341285134944,0.0011965225105690367
126,renzod5,0.0010812862668308438,1.0,0.0013211341285134944,0.001196413240438516
127,nikoline_nik,0.0010803919040403185,1.0,0.0013211341285134944,0.0011959481717874428
132,joez#9988,0.001038541503261304,1.0104783370652273,0.0013349774172204342,0.0011808307419616864
129,existenialstoic,0.001044747406489713,1.0,0.0013211341285134944,0.001177413033061128
130,jonassft,0.0010429063076181088,1.0,0.0013211341285134944,0.0011764556616478939
131,simunstrukan,0.0010390003488699123,1.0,0.0013211341285134944,0.0011744245630988318
133,luukweber,0.001033726430276662,1.0,0.0013211341285134944,0.0011716821254303415
137,mercedesrodsim,0.0009822612883035318,1.0,0.0013211341285134944,0.0011449202516043138
139,d8n13l,0.0009659396015730184,1.0,0.0013211341285134944,0.001136432974504447
142,rogervs,0.0008948803815159015,1.0,0.0013211341285134944,0.001099482180074746
144,lbagic,0.0008654245952569152,1.0,0.0013211341285134944,0.001084165171220073
145,andfletcher,0.0008579206973133957,1.0,0.0013211341285134944,0.001080263144289443
146,juliet_myea,0.0008553034673200588,1.0,0.0013211341285134944,0.0010789021846929077
148,auryn_macmillan,0.0008199900821474859,1.0,0.0013211341285134944,0.00106053922440317
149,crypt0dawg,0.0008138274443504072,1.0,0.0013211341285134944,0.001057334652748689
147,bradleyc#1813,0.0008219897090749063,0.9825814995581661,0.0012981219531122603,0.0010505331862128361
134,katalenacaban,0.0009981136536823193,0.818699251131452,0.0010816115216582013,0.0010381926303107427
151,petheth,0.0007759157470575093,1.0,0.0013211341285134944,0.0010376205701563821
97,aidanbrodieo,0.0017264523443486764,1.0,0.0002537157448215503,0.001019538776575656
155,antoniopaglino,0.0007140280225073372,1.0,0.0013211341285134944,0.0010054389533902925
156,a mensch#5604,0.000708794430448807,1.0,0.0013211341285134944,0.001002717485519857
158,katebee,0.000687174474311704,1.0,0.0013211341285134944,0.0009914751083285633
153,ekeneodigwe#1502,0.0007283281905105804,0.9644022326148785,0.0012741047031221257,0.000990300916564122
162,magentaceiba,0.0006728759826443608,1.0,0.0013211341285134944,0.0009840398926615449
163,thebeautyway,0.0006674509949537952,1.0,0.0013211341285134944,0.0009812188990624509
164,bk#7471,0.0006326047360861752,1.0,0.0013211341285134944,0.0009630988444512883
165,krisparuch,0.000629067673381697,1.0,0.0013211341285134944,0.0009612595718449597
166,positonic,0.0006181302977372523,1.0,0.0013211341285134944,0.0009555721365098485
169,morgangr,0.0006030995913062391,1.0,0.0013211341285134944,0.0009477561691657216
170,paulaberman#9915,0.0006000576927290273,1.0,0.0013211341285134944,0.0009461743819055714
171,josiprajevic,0.0005996712268560628,1.0,0.0013211341285134944,0.0009459734196516299
172,castall,0.0005986765495832501,1.0,0.0013211341285134944,0.0009454561874697673
173,rpp63,0.0005789139334783579,1.0,0.0013211341285134944,0.0009351796270952234
167,freshelle,0.0006151292827683832,0.9662914983510025,0.0012766006765639504,0.0009326355517902554
174,brutalfluffy,0.000570815532036625,1.0,0.0013211341285134944,0.0009309684583455222
176,jakublanc,0.0005485630123688261,1.0,0.0013211341285134944,0.0009193971481182667
177,typto,0.0005466481899803407,1.0,0.0013211341285134944,0.0009184014404762543
178,julio holon#2942,0.0005234573789188742,1.0,0.0013211341285134944,0.0009063422187242918
179,glefevre,0.0005200626129521694,1.0,0.0013211341285134944,0.0009045769404216054
180,stephen_yo,0.0005171453623104713,1.0,0.0013211341285134944,0.0009030599700879223
102,abchewey,0.0014770238978593737,1.0,0.0002537157448215503,0.0008898359844012185
181,pkk777,0.0004896171363452977,1.0,0.0013211341285134944,0.000888745292586032
182,witwiki3,0.0004877953888070244,1.0,0.0013211341285134944,0.0008877979838661299
184,davidkish,0.0004844527358066802,1.0,0.0013211341285134944,0.000886059804305951
185,davidhq,0.00047984884278271965,1.0,0.0013211341285134944,0.0008836657799334915
186,adriazero,0.00047796222825265366,1.0,0.0013211341285134944,0.0008826847403778572
187,xlcrr,0.00047743435255768253,1.0,0.0013211341285134944,0.0008824102450164721
192,nukemandan,0.000445208837246246,1.0,0.0013211341285134944,0.0008656529770545251
195,penguin#5853,0.0004276603911638241,1.0,0.0013211341285134944,0.0008565277850916658
197,orishim,0.00042727835281714915,1.0,0.0013211341285134944,0.0008563291251513947
