Handle,Total Hours Deducted,Impact Hours,Paid Ratio,Unpaid Bonus Factor,Name,IH held
zeptimusq,-167.79223279,686.6014399,0.24438083441019015,0.9645205809806011,zeptimusq,167.7829828
santigs67,0.0,621.7890716,-0.0,1.0,santigs67,167.7829828
ygganderson,-142.968564695,502.6915081,0.2844061663889484,0.9587096689747876,ygganderson,167.7829828
cranders71,10.38050642,418.6719612,-0.024793889684533284,1.0035995981573653,cranders71,167.7829828
sembrestels,-844.3849814269998,380.1232993,2.2213449767008266,0.67750323217769,sembrestels,167.7829828
solsista,21.287698391,353.0345155,-0.060299198679909245,1.0087542893519528,solsista,167.7829828
akrtws,19.835453085,332.3092934,-0.0596897332664245,1.008665806640798,,
mzargham,88.36829490100001,289.4466282,-0.3053008267898697,1.0443238357328197,mzargham,167.7829828
iviangita,-332.589494575,265.2147361,1.25403851786575,0.8179376130325152,iviangita,167.7829828
naynaysoo,-322.32213557599994,251.1470512,1.2834000400797856,0.813674882069208,naynaysoo,167.7829828
durgadasji,0.0,223.6662991,-0.0,1.0,durgadasji,62.11540213
metaverde,0.0,210.2057708,-0.0,1.0,metaverde,10.42651393
juankbell,-646.3631105599999,176.0991203,3.6704505363732918,0.46712084487205086,juankbell,167.7829828
mateodaza,-81.807933292,174.6166274,0.4685002482873518,0.9319827323619848,mateodaza,62.11540213
griffgreen,-892.3479459600001,173.9641348,5.129493771724262,0.25529569729297397,griffgreen,167.7829828
jessicazartler,-596.4215434739999,173.7945748,3.4317615734573548,0.5017739131089239,jessicazartler,167.7829828
freedumbs00,-355.5433,164.7391401,2.1582199578325953,0.6866677765268359,freedumbs00,62.11540213
trentmc0,51.5166172,160.339432,-0.32129724146708966,1.0466462089275546,trentmc0,62.11540213
laurenluz,-152.7008992188,159.8784119,0.9551064299682351,0.8613368297937518,laurenluz,167.7829828
lkngtn,29.411873005,159.5454556,-0.184347920750179,1.0267637891548904,lkngtn,167.7829828
liviade,-796.1424019720002,153.8520557,5.174727099678267,0.248728683967255,liviade,167.7829828
nuggan#5183,0.0,149.953655,-0.0,1.0,nuggan#5183,62.11540213
xgabi,-17.567154410999997,148.6325529,0.11819183663500135,0.9828408078449924,xgabi,167.7829828
danlessa,27.097440104,146.9513766,-0.18439732060325592,1.026770961067905,danlessa,62.11540213
divine_comedian,-173.180397383,140.2490692,1.2348060373651306,0.8207298010374,divine_comedian,167.7829828
markop,-386.26293372030005,130.8877612,2.9511004709606117,0.5715567039851673,markop,167.7829828
vitormarthendal,-246.74924290900003,128.0657259,1.9267391113034722,0.7202743642479779,vitormarthendal,167.7829828
vyvy-vi#5040,-148.386829422,124.0031129,1.1966379387722612,0.8262710783082566,vyvy-vi#5040,167.7829828
shawn_westrick,0.0,123.5112994,-0.0,1.0,shawn_westrick,62.11540213
tonga2020,0.0,119.6022133,-0.0,1.0,tonga2020,10.42651393
tam2140,-642.66608537,114.926538,5.591972894632918,0.18815258179865968,tam2140,167.7829828
simondlr,42.68239216,113.0538934,-0.3775402233073381,1.0548116132417948,,
jeffemmett,-256.24390422500005,111.9539861,2.288832342209922,0.667705358603883,jeffemmett,167.7829828
mount manu#3530,-13.30732922,111.5029902,0.11934504353767546,0.9826733842783498,mount manu#3530,62.11540213
wslyvh,6.48675671,109.2171362,-0.05939321369973808,1.0086227576759343,wslyvh,62.11540213
ddan#2489,0.0,108.9335637,-0.0,1.0,ddan#2489,62.11540213
paulo_c2d,-276.852191799,104.2520868,2.655603358138247,0.6144572281205825,paulo_c2d,167.7829828
🐙 octopus#5508,0.0,103.2392792,-0.0,1.0,🐙 octopus#5508,62.11540213
sherminv,36.41710289,98.36948811,-0.37020730299294835,1.0537470135848783,sherminv,62.11540213
randomshinichi,34.43768939,92.30847962,-0.3730717863815684,1.054162881738632,randomshinichi,62.11540213
vegayp,-343.14931004,92.02226723,3.728981260397924,0.458623304186462,vegayp,167.7829828
merlinegalite,-3.048974798,90.3498215,0.033746328962033424,0.9951006790344255,merlinegalite,62.11540213
kristoferkristofer,-34.19,87.06822543,0.3926805655122446,0.9429902988988137,,
tannra,14.7441498,85.99096123,-0.17146162328112402,1.0248929454423847,tannra,10.42651393
sgonzt,-10.0485,83.40333296,0.12048079667055071,0.9825084946649678,sgonzt,10.42651393
benjaminscholtz,16.39309035,82.66109055,-0.19831688937232395,1.028791815993452,benjaminscholtz,62.11540213
sponnet2,0.0,81.03238345,-0.0,1.0,sponnet2,10.42651393
blairv,0.0,80.52267095,-0.0,1.0,blairv,10.42651393
vntrp,24.96826608,77.67334929,-0.3214521622696978,1.046668700462473,vntrp,62.11540213
danibelle,-6.721329703,75.11063837,0.08948572198108985,0.9870083861769148,danibelle,10.42651393
chuygarcia92,-385.9553082,73.98796554,5.216460614683905,0.24266977648536925,chuygarcia92,167.7829828
willjgriff,24.63864917,69.67831838,-0.3536056802580947,1.0513367757655605,willjgriff,62.11540213
geleeroyale,-22.881765499,69.27387502,0.3303087273866782,0.9520454958221237,geleeroyale,62.11540213
heater03,-14.304126302,67.77231863,0.2110614863288469,0.9693579124959153,heater03,62.11540213
fabiosmendes,-103.6752610187,67.67007115,1.532069632214359,0.7775728175271219,fabiosmendes,167.7829828
manualzuru,0.0,66.68396571,-0.0,1.0,manualzuru,62.11540213
jonathanbsci,37.74853997,65.69074021,-0.5746401981363821,1.0834267565387319,jonathanbsci,62.11540213
fabimol,-178.88459672399998,62.0520145,2.88281691038411,0.5814701698413474,fabimol,62.11540213
annamarieswan#8824,0.0,60.84568282,-0.0,1.0,annamarieswan#8824,62.11540213
rdfbbx#6437,0.0,60.45224941,-0.0,1.0,rdfbbx#6437,10.42651393
owocki,0.0,59.79328695,-0.0,1.0,owocki,10.42651393
knobsdao,-77.242004782,57.8788523,1.3345462412011235,0.806249432748626,knobsdao,62.11540213
upaul,32.88249591,57.35388533,-0.5733263879299946,1.0832360164467894,upaul,62.11540213
fiorebotta,-34.188996984000006,57.33542342,0.5962979767944654,0.9134289485909519,fiorebotta,62.11540213
krisjones,-166.291347628,56.9967064,2.9175606474692724,0.5764260443094931,krisjones,62.11540213
ethicraul,36.81949325,56.63572683,-0.6501107218155568,1.0943836318587192,ethicraul,10.42651393
fvigevani,0.0,55.53785699,-0.0,1.0,fvigevani,62.11540213
niranb,0.0,54.67319028,-0.0,1.0,niranb,10.42651393
