Handle,Impact Hours Calc,Impact Hours Calc.1,Why?
naynaysoo,125.868,125.868,Was deducted but not paid for several months
freedumbs00,73.34585,73.34585,Was deducted but not paid for several months
fabiosmendes,10.639597944849797,10.63959794,Was deducted more than he should have been 
fabimol,9.260811944298908,9.260811944,Was deducted but not paid for several months
geleeroyale,5.867312666984361,5.867312667,Was deducted but not paid for several months
jeffemmett,4.39712736486668,4.397127365,Was deducted more than he should have been 
Gfriis,3.1000023357077713,3.100002336,Was deducted more than he should have been 
vivszaid,1.6839763177030282,1.683976318,Was deducted more than she should have been 
vegayp,1.4701480832964076,1.470148083,Was deducted more than he should have been 
iviangita,1.3685,1.3685,Was deducted more than she should have been 
Ekeneodigwe#1502,1.1521419836537943,1.152141984,Was deducted more than he should have been 
katalenacaban,0.9325,0.9325,Was deducted more than she should have been 
Anthonyoliai,0.62175,0.62175,Was deducted more than she should have been 
fiorebotta,0.49843823452569613,0.4984382345,Was deducted more than she should have been 
atacas,-0.5795000000000001,-0.5795,Was paid by Commons Stack but not deducted
vitormarthendal,-1.13925,-1.13925,Was paid by General Magic but not deducted
krisjones,-1.1693250000000002,-1.169325,Was paid by Commons Stack but not deducted 
Vyvy-vi#5040,-1.3399184902092158,-1.33991849,Was paid by Commons Stack but not deducted 
xgabi,-1.4736818422003788,-1.473681842,Was paid by Commons Stack but not deducted 
ygganderson,-1.9854453487129566,-1.985445349,COMPLICATED! Check the sheet: https://docs.google.com/spreadsheets/d/1Xs_mL8BVPh2OD8u18UVXQ49vIyLS0Cdb_zRximqc96I/edit#gid=748857710 
nikoline_nik,-3.113,-3.113,Was paid by Commons Stack but not deducted 
sgonzt,-5.09125,-5.09125,Was paid by Commons Stack but not deducted 
heater03,-6.5355,-6.5355,Was paid by Commons Stack but not deducted 
merlinegalite,-8.616368636428987,-8.616368636,Was paid by Giveth but not deducted for many months
Mount Manu#3530,-8.61780505837154,-8.617805058,Was paid by Giveth but not deducted for June
Danibelle,-9.198938531776875,-9.198938532,Was paid by Giveth but not deducted for many months
knobsDAO,-9.552509167403901,-9.552509167,Was paid by Commons Stack but not deducted for many months
kristoferkristofer,-11.628058261044146,-11.62805826,Was paid by Commons Stack but not deducted for many months
divine_comedian,-13.649699636851015,-13.64969964,Was paid by Giveth but not deducted for many months
laurenluz,-19.55075,-19.55075,Was paid by Giveth but not deducted for many months
Suga#8514,-43.96970169664789,-43.9697017,Was paid by Commons Stack but not deducted for many months
mateodaza,-67.55679241178245,-67.55679241,Was paid by Giveth but not deducted for many months
