To,From,Reason for dishing,Institution,Date,Room,Avg %,IH per Praise,IH per person,period,batch
zeptimusQ,Tam2140,for hosting this kicking params party! ,Token Engineering Commons,May-07-2021,🙏praise,0.001962709626,2.355251551,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,for hosting and leading a lot of params parties ,Token Engineering Commons,May-07-2021,🙏praise,0.001662949434,1.995539321,39.04071991,#17 May 7,Batch 1
zeptimusQ,JuankBell,for testing and deploying the bot to record and display our meetings! ,Token Engineering Commons,Apr-28-2021,🙏praise,0.001342393283,1.61087194,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,for the huge success of the MVV process ,Token Engineering Commons,Apr-30-2021,🙏praise,0.001042633091,1.25115971,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,"for his awesome work on the recorder bot, for all the help he is doing with the documentation, for always being there and getting those recordings going, pushing the Transparency WG, and being such a good personality ",Token Engineering Commons,Apr-30-2021,🙏praise,0.001042633091,1.25115971,39.04071991,#17 May 7,Batch 1
zeptimusQ,Tam2140,for taking care of Ivy's access to Twitter DMs!! ,Token Engineering Commons,Apr-30-2021,🙏praise,0.001023154349,1.227785219,39.04071991,#17 May 7,Batch 1
zeptimusQ,GriffGreen,and the many other community members that did user testing over the last month to slowly but surely make this project something we can be proud to release! ,Token Engineering Commons,May-03-2021,🎫general,0.001023154349,1.227785219,39.04071991,#17 May 7,Batch 1
zeptimusQ,Tam2140,"for keeping the Stewards, and all Working Groups, transparent. The Stewards audit is on the Forum. ",Token Engineering Commons,May-06-2021,🙏praise,0.001023154349,1.227785219,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,for all the awesome MEMES! ,Token Engineering Commons,May-07-2021,🙏praise,0.001023154349,1.227785219,39.04071991,#17 May 7,Batch 1
zeptimusQ,cranders71,"for attending the 1Hive TEC Hatch Params Party, and to the 9 individuals in attendance but not in the Praise channel, help them join us here. ",Token Engineering Commons,May-07-2021,🙏praise,0.001023154349,1.227785219,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,for being thoughtful and taking the time to guide me in the TEC Hatch Config Dashboard 🙏🏼 😊 ,Token Engineering Commons,Apr-26-2021,🙏praise,0.0008830136242,1.059616349,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,for being present in the Transparency sync call today ,Token Engineering Commons,Apr-26-2021,🙏praise,0.000723394157,0.8680729884,39.04071991,#17 May 7,Batch 1
zeptimusQ,JuankBell,for an improv hack session on designs and illustrations for the Hatch and for Gravity ,Token Engineering Commons,Apr-26-2021,🙏praise,0.000723394157,0.8680729884,39.04071991,#17 May 7,Batch 1
zeptimusQ,solsista,"for joining the <#810180622634844202> bi-weekly call, with their diverse backgrounds - already creating a perfect focus group 😄 to start our research from, and making time for not just 1 but 2 work sessions until our next call ",Token Engineering Commons,Apr-28-2021,🙏praise,0.000723394157,0.8680729884,39.04071991,#17 May 7,Batch 1
zeptimusQ,Tam2140,for a highly productive Community Stewards call.🌾 ,Token Engineering Commons,Apr-28-2021,🙏praise,0.000723394157,0.8680729884,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,for their amazing ideas in transparency ,Token Engineering Commons,Apr-30-2021,🙏praise,0.000723394157,0.8680729884,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,for all the things they are doing that Suga does not see ,Token Engineering Commons,Apr-30-2021,🙏praise,0.000723394157,0.8680729884,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,for being an active piece of SoftGov and making it better every time ,Token Engineering Commons,Apr-30-2021,🙏praise,0.000723394157,0.8680729884,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,for joining Santi in this other project he is launching around art ,Token Engineering Commons,Apr-30-2021,🙏praise,0.000723394157,0.8680729884,39.04071991,#17 May 7,Batch 1
zeptimusQ,zeptimusQ,for joinimc community call https://youtu.be/fvlttUshrbg its the ugly dude getting the recording 🤭 ,Token Engineering Commons,Apr-30-2021,🙏praise,0.000723394157,0.8680729884,39.04071991,#17 May 7,Batch 1
zeptimusQ,zeptimusQ,"for yesterday restrospective meeting, what an awesome sprint⚡ ",Token Engineering Commons,Apr-30-2021,🙏praise,0.000723394157,0.8680729884,39.04071991,#17 May 7,Batch 1
zeptimusQ,GriffGreen,for the AMAZING MEMES this week!!! ,Token Engineering Commons,May-03-2021,🍄memes,0.000723394157,0.8680729884,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,"for the transparency work he is doing in the background, for answering Manu s questions all the time, and for being always present ",Token Engineering Commons,May-07-2021,🙏praise,0.000723394157,0.8680729884,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,for being awesome people who have interacted with Juan recently because having conversations with you are amazing ,Token Engineering Commons,May-07-2021,🙏praise,0.000723394157,0.8680729884,39.04071991,#17 May 7,Batch 1
zeptimusQ,sembrestels,for coming to the hatch dashboard party today ,Token Engineering Commons,May-04-2021,🙏praise,0.0006914702636,0.8297643163,39.04071991,#17 May 7,Batch 1
zeptimusQ,Tam2140,for joining the Community Stewards sync yesterday. ,Token Engineering Commons,May-06-2021,🙏praise,0.0006914702636,0.8297643163,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,for joining the Legal WG in the past weeks and we have dealt with the legal issues ahead of time ,Token Engineering Commons,May-07-2021,🙏praise,0.0006914702636,0.8297643163,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,for joining the Legal weekly sync ,Token Engineering Commons,Apr-30-2021,🙏praise,0.0006595463701,0.7914556442,39.04071991,#17 May 7,Batch 1
zeptimusQ,zeptimusQ,for joining Common Swarm weekly sync ⚡ ,Token Engineering Commons,May-03-2021,🙏praise,0.0006595463701,0.7914556442,39.04071991,#17 May 7,Batch 1
zeptimusQ,chuygarcia92,for joining the Comms WG call ,Token Engineering Commons,May-04-2021,🙏praise,0.0006595463701,0.7914556442,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,for joining the Legal weekly call ,Token Engineering Commons,May-07-2021,🙏praise,0.0006595463701,0.7914556442,39.04071991,#17 May 7,Batch 1
zeptimusQ,markop,for attending the Comms Call. ,Token Engineering Commons,Apr-27-2021,🙏praise,0.0006276224767,0.7531469721,39.04071991,#17 May 7,Batch 1
zeptimusQ,zeptimusQ,for joining Common Swarm yesterday ,Token Engineering Commons,Apr-27-2021,🙏praise,0.0006276224767,0.7531469721,39.04071991,#17 May 7,Batch 1
zeptimusQ,liviade,for joining the soft gov call yesterday! ,Token Engineering Commons,Apr-28-2021,🙏praise,0.0006276224767,0.7531469721,39.04071991,#17 May 7,Batch 1
zeptimusQ,vegayp,for joining Hatch Outreach call! ,Token Engineering Commons,Apr-28-2021,🙏praise,0.0006276224767,0.7531469721,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,PRAISE,2021-05-08 00:00:00,TE Praise,0.0005637746898,0.6765296278,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,for joining the TEC Community Call 🙏 😊 https://youtu.be/CArIX3rOvx0 ,Token Engineering Commons,May-07-2021,🙏praise,0.0005637746898,0.6765296278,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,PRAISE,2021-04-30 00:00:00,Commons Stack,0.0004317674408,0.518120929,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,PRAISE,2021-04-30 00:00:00,TE Praise,0.0004317674408,0.518120929,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,PRAISE,2021-05-07 00:00:00,Commons Stack,0.0004317674408,0.518120929,39.04071991,#17 May 7,Batch 1
zeptimusQ,iviangita,mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,PRAISE,2021-05-08 00:00:00,TE Praise,0.0004317674408,0.518120929,39.04071991,#17 May 7,Batch 1
solsista,iviangita,the TE Academy kickoff,PRAISE,2021-05-07 00:00:00,TE Praise,0.01201621901,14.41946281,28.49199425,#17 May 7,Batch 1
solsista,Suga#8514,for the enlightening talk this morning on shifting paradigms and bringing decentralized organization to the people for the greater good. ,Commons Stack,Apr-30-2021,🙌praise,0.002301427303,2.761712764,28.49199425,#17 May 7,Batch 1
solsista,iviangita,"because the Omega working group is flowering into something very special and necessary for the community, awesome to see that ",Token Engineering Commons,Apr-30-2021,🙏praise,0.002000349895,2.400419873,28.49199425,#17 May 7,Batch 1
solsista,ddan#2489,for leading a great session which was unexpectedly about a project I had been hoping I'd get to work on ,Token Engineering Commons,May-05-2021,🙏praise,0.002000349895,2.400419873,28.49199425,#17 May 7,Batch 1
solsista,liviade,initiating a new ecosystem and value flows course on the TE Academy!!,PRAISE,2021-05-03 00:00:00,Commons Stack,0.001733308476,2.079970171,28.49199425,#17 May 7,Batch 1
solsista,iviangita,for hosting the bonfire chat on the Token Engineering ,Token Engineering Commons,Apr-30-2021,🙏praise,0.00168111096,2.017333152,28.49199425,#17 May 7,Batch 1
solsista,iviangita,because the biweekly 0mega calls are becoming one of Chuys favorite spaces in the TEC ,Token Engineering Commons,Apr-30-2021,🙏praise,0.000723394157,0.8680729884,28.49199425,#17 May 7,Batch 1
solsista,iviangita,for the meeting with Eduardo on the proposals and their guidance on the process ,Token Engineering Commons,May-07-2021,🙏praise,0.000723394157,0.8680729884,28.49199425,#17 May 7,Batch 1
solsista,iviangita,engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,PRAISE,2021-05-08 00:00:00,TE Praise,0.0005637746898,0.6765296278,28.49199425,#17 May 7,Batch 1
iviangita,iviangita,for always translating the praise and for managing the CS Twitter ,Token Engineering Commons,May-07-2021,🙏praise,0.0113582624,13.62991488,23.87003435,#17 May 7,Batch 1
iviangita,ygganderson,for sorting the infinite praise from today's community call! ,Token Engineering Commons,Apr-30-2021,🙏praise,0.004369849176,5.243819012,23.87003435,#17 May 7,Batch 1
iviangita,Letty#5399,for bot /server hacking and ivy for already catching up on praise channel my command's glitch and making it count ,Token Engineering Commons,May-01-2021,🎑-omega,0.003306420126,3.967704151,23.87003435,#17 May 7,Batch 1
iviangita,markop,for being our Praise Queen ,Token Engineering Commons,Apr-30-2021,🙏praise,0.002241673859,2.690008631,23.87003435,#17 May 7,Batch 1
iviangita,Vyvy-vi#5040,for setting up the Miro Board for sprint retrospectives ,Token Engineering Commons,Apr-30-2021,🙏praise,0.002122329093,2.546794912,23.87003435,#17 May 7,Batch 1
iviangita,GriffGreen,always cleaning up the videos and making the praise!!!,PRAISE,2021-05-05 00:00:00,CS dDEV Team,0.001822568901,2.187082682,23.87003435,#17 May 7,Batch 1
